"Time (s)","Pressure (hPa)"
4.353858219E0,8.783414307E2
4.378946436E0,8.783322754E2
4.404017807E0,8.783231201E2
4.429070136E0,8.783109131E2
4.454163926E0,8.783322754E2
4.479219063E0,8.783658447E2
4.504308337E0,8.783811035E2
4.529376982E0,8.783872070E2
4.554456287E0,8.783902588E2
4.579530304E0,8.783841553E2
4.604601267E0,8.783841553E2
4.629685823E0,8.783780518E2
4.654730826E0,8.783750000E2
4.679821566E0,8.783688965E2
4.704894971E0,8.783597412E2
4.729963494E0,8.783566895E2
4.755037998E0,8.783627930E2
4.780089187E0,8.784055176E2
4.805183344E0,8.784388428E2
4.830201575E0,8.784327393E2
4.855326331E0,8.784022217E2
4.880400917E0,8.784113770E2
4.905451576E0,8.784357910E2
4.930523313E0,8.784449463E2
4.955597777E0,8.784357910E2
4.980671345E0,8.784327393E2
5.005744059E0,8.784418945E2
5.030855387E0,8.784327393E2
5.055889894E0,8.784266357E2
5.080965496E0,8.784357910E2
5.106029543E0,8.784388428E2
5.131135907E0,8.784266357E2
5.156179406E0,8.784388428E2
5.181273482E0,8.784724121E2
5.206324793E0,8.785059814E2
5.231415939E0,8.785029297E2
5.256491868E0,8.784815674E2
5.281562913E0,8.784665527E2
5.306602058E0,8.784696045E2
5.331682340E0,8.784635010E2
5.356755990E0,8.784482422E2
5.381828175E0,8.784451904E2
5.406922577E0,8.784665527E2
5.431993011E0,8.784940186E2
5.457068411E0,8.785062256E2
5.482143037E0,8.785123291E2
5.507211927E0,8.785031738E2
5.532285047E0,8.784940186E2
5.557354709E0,8.784970703E2
5.582429335E0,8.784879150E2
5.607467870E0,8.784940186E2
5.632575739E0,8.785214844E2
5.657646745E0,8.785306396E2
5.682717546E0,8.785062256E2
5.707794288E0,8.785062256E2
5.732849302E0,8.785275879E2
5.757912332E0,8.785489502E2
5.782992573E0,8.785611572E2
5.808063741E0,8.785764160E2
5.833137838E0,8.785855713E2
5.858194195E0,8.785672607E2
5.883281801E0,8.785550537E2
5.908355410E0,8.785611572E2
5.933429710E0,8.785825195E2
5.958504988E0,8.786038818E2
5.983584375E0,8.786038818E2
6.008651148E0,8.785794678E2
6.033726303E0,8.785794678E2
6.058777614E0,8.786130371E2
6.083894395E0,8.786313477E2
6.108945503E0,8.786069336E2
6.134037219E0,8.785733643E2
6.159112415E0,8.785825195E2
6.184201282E0,8.786282959E2
6.209238271E0,8.786649170E2
6.234312286E0,8.786585693E2
6.259384146E0,8.786341553E2
6.284459016E0,8.786250000E2
6.309553052E0,8.786402588E2
6.334626498E0,8.786402588E2
6.359661859E0,8.786402588E2
6.384771722E0,8.786463623E2
6.409847814E0,8.786616211E2
6.434898595E0,8.786707764E2
6.459954749E0,8.786768799E2
6.485043860E0,8.786524658E2
6.510114296E0,8.786341553E2
6.535230385E0,8.786585693E2
6.560284951E0,8.786921387E2
6.585355223E0,8.786860352E2
6.610431274E0,8.786677246E2
6.635483317E0,8.786860352E2
6.660577393E0,8.787012939E2
6.685653199E0,8.786799316E2
6.710712241E0,8.786527100E2
6.735797813E0,8.786771240E2
6.760851077E0,8.787045898E2
6.785943038E0,8.787045898E2
6.811016321E0,8.787137451E2
6.836086716E0,8.787503662E2
6.861123500E0,8.787625732E2
6.886211391E0,8.787442627E2
6.911268073E0,8.787442627E2
6.936356168E0,8.787595215E2
6.961413704E0,8.787564697E2
6.986506275E0,8.787351074E2
7.011574309E0,8.787229004E2
7.036650808E0,8.787259521E2
7.061709401E0,8.787442627E2
7.086794038E0,8.787656250E2
7.111865571E0,8.787747803E2
7.136937635E0,8.787595215E2
7.162009860E0,8.787534180E2
7.187069106E0,8.787562256E2
7.212157363E0,8.787623291E2
7.237229345E0,8.787714844E2
7.262303685E0,8.787897949E2
7.287379614E0,8.787897949E2
7.312439266E0,8.787745361E2
7.337527890E0,8.787714844E2
7.362602760E0,8.787775879E2
7.387678730E0,8.787806396E2
7.412749002E0,8.787836914E2
7.437792460E0,8.787958984E2
7.462894958E0,8.787928467E2
7.487965313E0,8.788020020E2
7.513040956E0,8.788203125E2
7.538112856E0,8.788325195E2
7.563187848E0,8.788355713E2
7.588257796E0,8.788325195E2
7.613335473E0,8.788172607E2
7.638404444E0,8.788142090E2
7.663475693E0,8.788261719E2
7.688548122E0,8.788261719E2
7.713622748E0,8.788292236E2
7.738679593E0,8.788627930E2
7.763768745E0,8.788872070E2
7.788841500E0,8.788597412E2
7.813918242E0,8.788200684E2
7.839001251E0,8.788261719E2
7.864065297E0,8.788597412E2
7.889135326E0,8.788719482E2
7.914209789E0,8.788597412E2
7.939280917E0,8.788658447E2
7.964367912E0,8.788841553E2
7.989432611E0,8.788719482E2
8.014505202E0,8.788597412E2
8.039578079E0,8.789055176E2
8.064658483E0,8.789390869E2
8.089728959E0,8.788994141E2
8.114802161E0,8.788872070E2
8.139877195E0,8.789362793E2
8.164952919E0,8.789515381E2
8.190024738E0,8.789057617E2
8.215085000E0,8.788874512E2
8.240173136E0,8.789210205E2
8.265250285E0,8.789423828E2
8.290321249E0,8.789332275E2
8.315395712E0,8.789393311E2
8.340453127E0,8.789576416E2
8.365541099E0,8.789698486E2
8.390613813E0,8.789606934E2
8.415686202E0,8.789515381E2
8.440760298E0,8.789606934E2
8.465822271E0,8.789820557E2
8.490905889E0,8.790034180E2
8.515978888E0,8.790217285E2
8.541049404E0,8.790186768E2
8.566110807E0,8.790034180E2
8.591179451E0,8.790034180E2
8.616249968E0,8.790221558E2
8.641334075E0,8.790343628E2
8.666420095E0,8.790191040E2
8.691477590E0,8.790221558E2
8.716527192E0,8.790557251E2
8.741621065E0,8.790831909E2
8.766685844E0,8.790587769E2
8.791766858E0,8.790252075E2
8.816838759E0,8.790343628E2
8.841897027E0,8.790557251E2
8.866982681E0,8.790587769E2
8.892054133E0,8.790709839E2
8.917126237E0,8.790770874E2
8.942185930E0,8.790648804E2
8.967258441E0,8.790526733E2
8.992345436E0,8.790587769E2
9.017417052E0,8.790648804E2
9.042540587E0,8.790740356E2
9.067563456E0,8.790984497E2
9.092635111E0,8.791106567E2
9.117691468E0,8.790892944E2
9.142763653E0,8.790679321E2
9.167852602E0,8.790770874E2
9.192929873E0,8.790923462E2
9.218001123E0,8.791137085E2
9.243059635E0,8.791472778E2
9.268137314E0,8.791686401E2
9.293225449E0,8.791503296E2
9.318282172E0,8.791228638E2
9.343365058E0,8.791198120E2
9.368469836E0,8.791320190E2
9.393512764E0,8.791533813E2
9.418595081E0,8.791594849E2
9.443680531E0,8.791503296E2
9.468743601E0,8.791472778E2
9.493800934E0,8.791564331E2
9.518888337E0,8.791503296E2
9.543964102E0,8.791594849E2
9.569036125E0,8.792015381E2
9.594112175E0,8.792259521E2
9.619159458E0,8.792137451E2
9.644254917E0,8.791954346E2
9.669327102E0,8.791893311E2
9.694401850E0,8.791771240E2
9.719471716E0,8.791862793E2
9.744529863E0,8.792259521E2
9.769617754E0,8.792351074E2
9.794685788E0,8.791954346E2
9.819763304E0,8.791771240E2
9.844836343E0,8.791893311E2
9.869896810E0,8.791923828E2
9.894985718E0,8.792015381E2
9.920056316E0,8.792198486E2
9.945130942E0,8.792198486E2
9.970188031E0,8.791954346E2
9.995280968E0,8.791923828E2
1.002035185E1,8.792229004E2
1.004542343E1,8.792412109E2
1.007049252E1,8.792412109E2
1.009556556E1,8.792442627E2
1.012062741E1,8.792534180E2
1.014569316E1,8.792686768E2
1.017077902E1,8.792839355E2
